"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"1","","0","Интернет-магазин Swag Labs","0","0","Корзина","0"
"2","","0","Интернет-магазин Swag Labs","0","0","Покупка товаров","0"
